         396379 function calls (384047 primitive calls) in 4.043 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   107/56    0.000    0.000    1.548    0.028 <frozen importlib._bootstrap>:1017(_handle_fromlist)
      304    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:103(release)
      252    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
      252    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap>:147(__enter__)
      252    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:151(__exit__)
      304    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      250    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
       52    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
    295/5    0.000    0.000    3.217    0.643 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     2703    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
      253    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:342(__init__)
      205    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:35(_new_module)
      420    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap>:376(cached)
      519    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:389(parent)
      229    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:397(has_location)
    20/16    0.000    0.000    0.329    0.021 <frozen importlib._bootstrap>:406(spec_from_loader)
      229    0.002    0.000    0.015    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
  229/228    0.001    0.000    0.223    0.001 <frozen importlib._bootstrap>:549(module_from_spec)
      250    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:58(__init__)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:613(_load_backward_compatible)
    235/5    0.002    0.000    3.296    0.659 <frozen importlib._bootstrap>:650(_load_unlocked)
      247    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:725(find_spec)
       14    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:746(create_module)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:754(exec_module)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:771(is_package)
